,DATE,ANDAMAN&NICOBARISLANDS,ARUNACHALPRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DADRA&NAGARHAVELI,DAMAN&DIU,DELHI,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JHARKHAND,KARNATAKA,KERALA,LAKSHADWEEP,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDHRAPRADESH,JAMMUANDKASHMIR
29,2020-04-13,0,0,100.0,0,-100.0,-100.0,0,0,318.8235294117647,0,16.666666666666668,-93.75,0,150.0,-11.764705882352942,50.0,0,57.57575757575758,59.276018099547514,0,0,0,0,0,0,-50.0,-10.576923076923077,0,-7.547169811320755,0,141.93548387096774,0,125.0,86.04651162790698,28.571428571428573
30,2020-04-14,0,0,-50.0,-100.0,0,0,0,0,-85.67415730337079,0,39.285714285714285,100.0,0,-40.0,-13.333333333333334,166.66666666666666,0,144.23076923076923,-1.7045454545454546,0,-100.0,0,0,400.0,0,33.333333333333336,16.129032258064516,0,-68.36734693877551,0,36.0,0,111.11111111111111,21.25,-70.37037037037037
31,2020-04-15,0,0,-100.0,0,0,-100.0,0,0,-66.66666666666667,0,48.717948717948715,200.0,100.0,-66.66666666666667,46.15384615384615,-87.5,0,55.118110236220474,-31.791907514450866,0,0,0,0,-100.0,0,-75.0,-34.25925925925926,0,22.580645161290324,0,-26.470588235294116,-100.0,-39.473684210526315,-51.54639175257732,187.5
32,2020-04-16,0,0,0,83.33333333333333,0,0,0,0,264.70588235294116,0,40.51724137931034,83.33333333333333,-100.0,0.0,89.47368421052632,600.0,0,14.720812182741117,20.76271186440678,0,-66.66666666666667,0,0,0,0,450.0,-22.535211267605632,0,-34.21052631578947,0,-6.666666666666667,0,-21.73913043478261,25.53191489361702,-39.130434782608695
33,2020-04-17,0,0,-100.0,-81.81818181818181,0,-100.0,0,0,8.064516129032258,0,4.294478527607362,-27.272727272727273,0,200.0,22.22222222222222,-85.71428571428571,0,-35.39823008849557,-57.89473684210526,0,-100.0,0,0,0,0,27.272727272727273,78.18181818181819,0,124.0,0,-37.142857142857146,0,33.333333333333336,76.27118644067797,0.0
34,2020-04-18,100.0,0,0,-50.0,0,0,0,0,177.61194029850745,0,62.94117647058823,12.5,-66.66666666666667,-66.66666666666667,-43.18181818181818,300.0,0,-36.986301369863014,172.5,0,0,0,0,0,0,64.28571428571429,24.489795918367346,0,-12.5,0,186.36363636363637,-33.333333333333336,33.333333333333336,-28.846153846153847,-7.142857142857143
35,2020-04-19,-50.0,0,0,900.0,50.0,0,0,0,-40.86021505376344,0,32.49097472924188,100.0,-100.0,700.0,-76.0,-50.0,0,-94.56521739130434,68.80733944954129,0,-100.0,0,0,-100.0,0,-56.52173913043478,4.098360655737705,0,114.28571428571429,0,-0.7936507936507936,0.0,-28.125,25.675675675675677,0.0
36,2020-04-20,0.0,0,0,70.0,-100.0,0,0,0,-29.09090909090909,0,-46.59400544959128,-94.44444444444444,0,-37.5,200.0,200.0,0,1460.0,-15.579710144927537,0,0,0,0,0,0,-90.0,-22.834645669291337,0,-59.04761904761905,0,-32.8,0.0,26.08695652173913,-4.301075268817204,7.6923076923076925
37,2020-04-21,0.0,0,0,-23.529411764705884,0,0,0,0,-3.8461538461538463,0,21.93877551020408,300.0,0,-100.0,-44.44444444444444,216.66666666666666,0,-14.102564102564102,18.454935622317596,0,0,0,0,-61.53846153846154,0,500.0,62.244897959183675,0,76.74418604651163,0,82.14285714285714,-100.0,82.75862068965517,2.247191011235955,-14.285714285714286
38,2020-04-22,0.0,0,0,30.76923076923077,-100.0,0,0,0,22.666666666666668,0,-4.184100418410042,125.0,0,0,-10.0,-42.10526315789474,0,-47.76119402985075,-21.920289855072465,0,-100.0,0,0,-20.0,0,350.0,-3.7735849056603774,0,-56.578947368421055,0,-26.797385620915033,0,-41.509433962264154,-21.978021978021978,125.0
