,From,To,Per run_Weight,Date_S,Date_E,Week_Count,Week_String
9748,ANDHRA PRADESH,UTTAR PRADESH,479.76508426643085,,,S M T W T F S,7
9749,ANDHRA PRADESH,HARYANA,120.7074973450631,,,S M T W T F S,7
9750,ANDHRA PRADESH,DELHI NCT,86.57668736790599,,,S M T W T F S,7
9751,MAHARASHTRA,MADHYA PRADESH,190.82698389449692,,,S M T W T F S,7
9752,MAHARASHTRA,UTTAR PRADESH,346.0475282278185,,,S M T W T F S,7
9753,MAHARASHTRA,HARYANA,87.06454984879302,,,S M T W T F S,7
9754,MAHARASHTRA,DELHI NCT,62.44649652157429,,,S M T W T F S,7
9755,MADHYA PRADESH,UTTAR PRADESH,317.9994014473248,,,S M T W T F S,7
9756,MADHYA PRADESH,HARYANA,80.00772287259255,,,S M T W T F S,7
9757,MADHYA PRADESH,DELHI NCT,57.3850321024969,,,S M T W T F S,7
9758,UTTAR PRADESH,HARYANA,666.074383954028,,,S M T W T F S,7
9759,UTTAR PRADESH,DELHI NCT,477.73762998754614,,,S M T W T F S,7
9760,HARYANA,DELHI NCT,953.8541540204767,,,S M T W T F S,7
9761,ANDHRA PRADESH,ODISHA,690.7503273293265,,,S M T W T F S,7
9762,ANDHRA PRADESH,WEST BENGAL,1385.2496726706734,,,S M T W T F S,7
9763,ODISHA,WEST BENGAL,690.7503273293265,,,S M T W T F S,7
9764,GUJARAT,MADHYA PRADESH,381.60894434383675,,,  M   W      ,2
9765,GUJARAT,RAJASTHAN,346.6329661826344,,,  M   W      ,2
9766,GUJARAT,UTTAR PRADESH,692.013410497655,,,  M   W      ,2
9767,GUJARAT,BIHAR,331.7446789758739,,,  M   W      ,2
9768,MADHYA PRADESH,RAJASTHAN,96.52590751651631,,,  M   W      ,2
9769,MADHYA PRADESH,UTTAR PRADESH,192.7030287900877,,,  M   W      ,2
9770,MADHYA PRADESH,BIHAR,92.38000803723276,,,  M   W      ,2
9771,RAJASTHAN,UTTAR PRADESH,299.55502841355406,,,  M   W      ,2
9772,RAJASTHAN,BIHAR,143.60384528559658,,,  M   W      ,2
9773,UTTAR PRADESH,BIHAR,1184.2714677012966,,,  M   W      ,2
9774,UTTAR PRADESH,DELHI NCT,751.8086219555202,,,S M T W T F S,7
9775,UTTAR PRADESH,HARYANA,1048.19137804448,,,S M T W T F S,7
9776,DELHI NCT,HARYANA,751.8086219555202,,,S M T W T F S,7
9777,HARYANA,DELHI NCT,275.16606591196114,,,S M T W T F S,7
9778,HARYANA,UTTAR PRADESH,1524.8339340880389,,,S M T W T F S,7
9779,DELHI NCT,UTTAR PRADESH,275.16606591196114,,,S M T W T F S,7
9780,DELHI NCT,UTTAR PRADESH,639.1505797756147,,,            S,1
9781,DELHI NCT,RAJASTHAN,320.15371081558334,,,            S,1
9782,DELHI NCT,MADHYA PRADESH,352.457877730319,,,            S,1
9783,DELHI NCT,GUJARAT,422.23783167848296,,,            S,1
9784,UTTAR PRADESH,RAJASTHAN,186.8991535321425,,,            S,1
9785,UTTAR PRADESH,MADHYA PRADESH,205.7576619546888,,,            S,1
9786,UTTAR PRADESH,GUJARAT,246.49376428878338,,,            S,1
9787,RAJASTHAN,MADHYA PRADESH,230.69028819258912,,,            S,1
9788,RAJASTHAN,GUJARAT,276.3625761551367,,,            S,1
9789,MADHYA PRADESH,GUJARAT,788.905827877597,,,            S,1
9790,BIHAR,UTTAR PRADESH,645.7853608805518,,,      W   F  ,2
9791,BIHAR,RAJASTHAN,323.47710573754443,,,      W   F  ,2
9792,BIHAR,MADHYA PRADESH,356.11661002509743,,,      W   F  ,2
9793,BIHAR,GUJARAT,426.62092335680626,,,      W   F  ,2
9794,UTTAR PRADESH,RAJASTHAN,188.8392831535834,,,      W   F  ,2
9795,UTTAR PRADESH,MADHYA PRADESH,207.89355463933958,,,      W   F  ,2
